windspeed,date
1.961932821,2021-01-21 16:00:00
1.84148622,2021-01-21 17:00:00
2.092171868,2021-01-21 18:00:00
2.107589422,2021-01-21 19:00:00
1.651541153,2021-01-21 20:00:00
1.233035849,2021-01-21 21:00:00
1.470706226,2021-01-21 22:00:00
1.56118297,2021-01-21 23:00:00
1.479537082,2021-01-22 00:00:00
1.277798508,2021-01-22 01:00:00
1.413449265,2021-01-22 02:00:00
1.615573809,2021-01-22 03:00:00
1.661146871,2021-01-22 04:00:00
1.436744872,2021-01-22 05:00:00
1.34631167,2021-01-22 06:00:00
1.521320393,2021-01-22 07:00:00
1.349585446,2021-01-22 08:00:00
1.397274915,2021-01-22 09:00:00
1.174493266,2021-01-22 10:00:00
1.157327735,2021-01-22 11:00:00
1.328481174,2021-01-22 12:00:00
1.427358433,2021-01-22 13:00:00
1.848910557,2021-01-22 14:00:00
1.949583638,2021-01-22 15:00:00
1.319692413,2021-01-22 16:00:00
1.157335535,2021-01-22 17:00:00
2.308860124,2021-01-22 18:00:00
2.883333773,2021-01-22 19:00:00
2.943187563,2021-01-22 20:00:00
2.676145606,2021-01-22 21:00:00
2.601529855,2021-01-22 22:00:00
2.499001487,2021-01-22 23:00:00
2.327256457,2021-01-23 00:00:00
2.1509603,2021-01-23 01:00:00
1.796967644,2021-01-23 02:00:00
1.625521704,2021-01-23 03:00:00
1.372332452,2021-01-23 04:00:00
1.253204347,2021-01-23 05:00:00
1.024489718,2021-01-23 06:00:00
1.120401488,2021-01-23 07:00:00
1.300133024,2021-01-23 08:00:00
1.19560146,2021-01-23 09:00:00
0.573017415,2021-01-23 10:00:00
0.704307346,2021-01-23 11:00:00
1.415653563,2021-01-23 12:00:00
1.633730597,2021-01-23 13:00:00
1.867300116,2021-01-23 14:00:00
1.913765864,2021-01-23 15:00:00
1.358881049,2021-01-23 16:00:00
1.806237949,2021-01-23 17:00:00
1.959946665,2021-01-23 18:00:00
1.499860997,2021-01-23 19:00:00
0.880252804,2021-01-23 20:00:00
1.034737457,2021-01-23 21:00:00
0.954244278,2021-01-23 22:00:00
1.118188564,2021-01-23 23:00:00
0.944039709,2021-01-24 00:00:00
0.835267795,2021-01-24 01:00:00
1.030755816,2021-01-24 02:00:00
1.0824942,2021-01-24 03:00:00
1.028789814,2021-01-24 04:00:00
0.704150538,2021-01-24 05:00:00
0.727454508,2021-01-24 06:00:00
0.423759267,2021-01-24 07:00:00
0.748300189,2021-01-24 08:00:00
1.143940561,2021-01-24 09:00:00
1.685272248,2021-01-24 10:00:00
2.201826431,2021-01-24 11:00:00
2.707671466,2021-01-24 12:00:00
3.770812111,2021-01-24 13:00:00
3.992044162,2021-01-24 14:00:00
3.318967507,2021-01-24 15:00:00
3.148529708,2021-01-24 16:00:00
2.52343645,2021-01-24 17:00:00
2.071892292,2021-01-24 18:00:00
1.708199957,2021-01-24 19:00:00
1.001493379,2021-01-24 20:00:00
0.774445409,2021-01-24 21:00:00
1.343005635,2021-01-24 22:00:00
1.036728449,2021-01-24 23:00:00
1.283596837,2021-01-25 00:00:00
1.340803076,2021-01-25 01:00:00
1.326157895,2021-01-25 02:00:00
1.371074911,2021-01-25 03:00:00
1.386939358,2021-01-25 04:00:00
1.215600519,2021-01-25 05:00:00
0.530146612,2021-01-25 06:00:00
0.822056665,2021-01-25 07:00:00
0.872662826,2021-01-25 08:00:00
0.820408442,2021-01-25 09:00:00
0.899815803,2021-01-25 10:00:00
1.279194151,2021-01-25 11:00:00
1.188423229,2021-01-25 12:00:00
0.624864781,2021-01-25 13:00:00
0.654914916,2021-01-25 14:00:00
1.32238529,2021-01-25 15:00:00
1.810681598,2021-01-25 16:00:00
1.765101933,2021-01-25 17:00:00
1.021513309,2021-01-25 18:00:00
0.943590185,2021-01-25 19:00:00
1.230419568,2021-01-25 20:00:00
