windspeed,date
0.849521129,2021-07-09 07:00:00
0.425118727,2021-07-09 08:00:00
0.15838373,2021-07-09 09:00:00
0.715571936,2021-07-09 10:00:00
1.205327879,2021-07-09 11:00:00
1.63136782,2021-07-09 12:00:00
1.706857453,2021-07-09 13:00:00
1.877850168,2021-07-09 14:00:00
1.354887781,2021-07-09 15:00:00
1.806129153,2021-07-09 16:00:00
1.522710305,2021-07-09 17:00:00
1.659543891,2021-07-09 18:00:00
1.980795438,2021-07-09 19:00:00
1.770229005,2021-07-09 20:00:00
1.529444543,2021-07-09 21:00:00
1.38382653,2021-07-09 22:00:00
1.315724599,2021-07-09 23:00:00
1.435239765,2021-07-10 00:00:00
1.429405854,2021-07-10 01:00:00
1.389817235,2021-07-10 02:00:00
1.411297763,2021-07-10 03:00:00
1.340685002,2021-07-10 04:00:00
1.161180728,2021-07-10 05:00:00
1.289867579,2021-07-10 06:00:00
1.289867579,2021-07-10 07:00:00
1.395631775,2021-07-10 08:00:00
1.286816511,2021-07-10 09:00:00
0.910522431,2021-07-10 10:00:00
1.845721744,2021-07-10 11:00:00
2.508816717,2021-07-10 12:00:00
3.113389585,2021-07-10 13:00:00
3.661132896,2021-07-10 14:00:00
3.765518119,2021-07-10 15:00:00
3.349116162,2021-07-10 16:00:00
2.73977575,2021-07-10 17:00:00
2.02201817,2021-07-10 18:00:00
2.265988813,2021-07-10 19:00:00
2.509631404,2021-07-10 20:00:00
2.268675029,2021-07-10 21:00:00
1.445499179,2021-07-10 22:00:00
1.178433193,2021-07-10 23:00:00
1.202756882,2021-07-11 00:00:00
1.13608187,2021-07-11 01:00:00
1.277659526,2021-07-11 02:00:00
1.095453103,2021-07-11 03:00:00
1.028457635,2021-07-11 04:00:00
1.389269859,2021-07-11 05:00:00
0.745498904,2021-07-11 06:00:00
0.504897855,2021-07-11 07:00:00
0.791983536,2021-07-11 08:00:00
1.145819326,2021-07-11 09:00:00
2.823957463,2021-07-11 10:00:00
3.945428735,2021-07-11 11:00:00
3.201622868,2021-07-11 12:00:00
3.169825692,2021-07-11 13:00:00
3.169825692,2021-07-11 14:00:00
3.158090717,2021-07-11 15:00:00
1.546947232,2021-07-11 16:00:00
1.815183324,2021-07-11 17:00:00
2.546964489,2021-07-11 18:00:00
4.278035981,2021-07-11 19:00:00
5.535313304,2021-07-11 20:00:00
6.170874469,2021-07-11 21:00:00
6.408084344,2021-07-11 22:00:00
6.084839525,2021-07-11 23:00:00
5.286052952,2021-07-12 00:00:00
3.949278759,2021-07-12 01:00:00
2.478913763,2021-07-12 02:00:00
1.8251762,2021-07-12 03:00:00
